timestamp,corpus_size,test_size,decomposition_size,cv,model_type,dataset,latent_r2_score,output_r2_score,sample_id,target,most_imp_corpus_id,most_imp_corpus_weight,most_imp_corpus_target,corpus_ids,corpus_weight,corpus_targets,
2024-02-25-21:39:14,100,10,3,0,ORIGINAL,MNIST,0.9046458438042224,0.9544566962727368,0,1,90,0.50209606,1,"[90, 99, 32]","[0.50209606, 0.3406509, 0.15299869]","[1, 1, 6]",No visualization
2024-02-25-21:39:17,100,10,3,0,REIMPLEMENTED,MNIST,0.8889633485184092,0.9315005933455517,0,1,90,0.4830423,1,"[90, 99, 32]","[0.4830423, 0.30393866, 0.13713576]","[1, 1, 6]",No visualization
2024-02-25-21:40:33,100,10,3,0,ORIGINAL,CaD,0.11567572433810355,0.806466792143626,0,1,6,0.645107,1,"[6, 63, 42]","[0.645107, 0.21821596, 0.13553691]","[1, 1, 1]",No visualization
2024-02-25-21:41:52,100,10,3,0,REIMPLEMENTED,CaD,0.6194802011495563,0.7142836709841642,0,1,6,0.3144182,1,"[6, 63, 53]","[0.3144182, 0.19007395, 0.105538554]","[1, 1, 0]",No visualization
2024-02-25-21:41:59,100,10,3,0,ORIGINAL,Heart,0.736034474748325,0.431944279038453,0,0,85,0.82983685,0,"[85, 69, 43]","[0.82983685, 0.16932473, 0.00076407037]","[0, 0, 0]",No visualization
2024-02-25-21:42:03,100,10,3,0,REIMPLEMENTED,Heart,-0.851879340313296,-9.374238529797292,0,0,76,0.19050449,1,"[76, 0, 41]","[0.19050449, 0.13367698, 0.09154981]","[1, 0, 0]",No visualization
2024-02-25-21:42:44,100,10,3,0,ORIGINAL,MNIST_MakeCorpus,0.9324513887201131,0.9661526695492876,0,1,41,0.65480006,1,"[41, 11, 45]","[0.65480006, 0.23906668, 0.10258109]","[1, 1, 1]",No visualization
2024-02-25-21:43:17,100,10,3,0,REIMPLEMENTED,MNIST_MakeCorpus,0.8931916746274473,0.9342282742502726,0,1,41,0.6249591,1,"[41, 11, 57]","[0.6249591, 0.20003344, 0.09201906]","[1, 1, 1]",No visualization
2024-02-25-21:43:25,100,10,3,1,ORIGINAL,MNIST,0.9435196855185041,0.9684744396591658,0,1,10,0.49263585,1,"[10, 49, 63]","[0.49263585, 0.3157699, 0.1873]","[1, 1, 1]",No visualization
2024-02-25-21:43:30,100,10,3,1,REIMPLEMENTED,MNIST,0.8141330912159122,0.8597672690614635,0,1,49,0.32960576,1,"[49, 10, 63]","[0.32960576, 0.32189018, 0.17381604]","[1, 1, 1]",No visualization
2024-02-25-21:44:51,100,10,3,1,ORIGINAL,CaD,0.7792134049389765,0.9283638361300377,0,1,42,0.3899554,1,"[42, 74, 89]","[0.3899554, 0.36556265, 0.24317549]","[1, 0, 0]",No visualization
