timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;test_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets;visualization
2024-02-25-14:40:45;50;10;5;0;ORIGINAL;CaD;0.40719554502378347;0.8857831723085539;0;0;2;0.23750374;0;[2, 9, 8, 10, 7];[0.23750374, 0.23582184, 0.2025061, 0.16644391, 0.15654221];[0, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL.png
2024-02-25-14:41:14;50;10;5;0;ORIGINAL_COMPACT;CaD;0.40719554502378347;0.8857831723085539;0;0;2;0.23750374;0;[2, 9, 8, 10, 7];[0.23750374, 0.23582184, 0.2025061, 0.16644391, 0.15654221];[0, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:41:42;50;10;5;0;REIMPLEMENTED;CaD;0.6008213897484056;0.8853980104883385;0;0;2;0.24701646;0;[2, 8, 10, 7, 15];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531];[0, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:42:16;50;10;5;1;ORIGINAL;CaD;0.806634844907524;0.8901033119959432;0;0;41;0.27277273;1;[41, 4, 3, 16, 1];[0.27277273, 0.23461986, 0.19968826, 0.19303711, 0.09919849];[1, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL.png
2024-02-25-14:42:49;50;10;5;1;ORIGINAL_COMPACT;CaD;0.806634844907524;0.8901033119959432;0;0;41;0.27277273;1;[41, 4, 3, 16, 1];[0.27277273, 0.23461986, 0.19968826, 0.19303711, 0.09919849];[1, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:43:20;50;10;5;1;REIMPLEMENTED;CaD;0.8139573799669088;0.8805961831171439;0;0;41;0.21041736;1;[41, 3, 1, 45, 16];[0.21041736, 0.19348061, 0.13821396, 0.12728247, 0.09423435];[1, 0, 0, 1, 0];files/images/Dataset.CaD_1_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:43:52;50;10;10;0;ORIGINAL;CaD;0.5150970513459965;0.886733472731526;0;0;2;0.24747679;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21];[0.24747679, 0.15843801, 0.14997798, 0.14708704, 0.12680867, 0.09654256, 0.05017636, 0.015013432, 0.006912043, 0.0007302887];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL.png
2024-02-25-14:44:24;50;10;10;0;ORIGINAL_COMPACT;CaD;0.5150970513459965;0.886733472731526;0;0;2;0.24747679;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21];[0.24747679, 0.15843801, 0.14997798, 0.14708704, 0.12680867, 0.09654256, 0.05017636, 0.015013432, 0.006912043, 0.0007302887];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:44:55;50;10;10;0;REIMPLEMENTED;CaD;0.5255395208200491;0.8893714356339143;0;0;2;0.24701646;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531, 0.09558867, 0.04973921, 0.018956915, 0.008010975, 0.0011344685];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:45:27;50;10;10;1;ORIGINAL;CaD;0.8128006216796788;0.8846355654116594;0;0;41;0.21305358;1;[41, 3, 1, 45, 16, 4, 19, 2, 14, 31];[0.21305358, 0.18842499, 0.13783836, 0.13457923, 0.10172688, 0.089142516, 0.07231014, 0.059407145, 0.0028229186, 0.00015776599];[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL.png
2024-02-25-14:46:00;50;10;10;1;ORIGINAL_COMPACT;CaD;0.8128006216796788;0.8846355654116594;0;0;41;0.21305358;1;[41, 3, 1, 45, 16, 4, 19, 2, 14, 31];[0.21305358, 0.18842499, 0.13783836, 0.13457923, 0.10172688, 0.089142516, 0.07231014, 0.059407145, 0.0028229186, 0.00015776599];[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:46:31;50;10;10;1;REIMPLEMENTED;CaD;0.8134374062446718;0.8845600896003445;0;0;41;0.21041736;1;[41, 3, 1, 45, 16, 4, 19, 2, 6, 14];[0.21041736, 0.19348061, 0.13821396, 0.12728247, 0.09423435, 0.0829636, 0.07090342, 0.049406976, 0.01561121, 0.005998816];[1, 0, 0, 1, 0, 0, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:47:03;50;10;50;0;ORIGINAL;CaD;0.5217222754993274;0.8899562791257258;0;0;2;0.24701646;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21, 14, 22, 13, 33, 48, 34, 47, 49, 45, 46, 40, 27, 25, 35, 26, 30, 36, 42, 24, 4, 37, 12, 0, 5, 23, 41, 44, 38, 1, 39, 31, 11, 29, 17, 16, 19, 20, 28, 43, 18];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531, 0.09558867, 0.04973921, 0.018956915, 0.008010975, 0.0011344685, 0.00079491804, 0.00042138598, 0.0001648651, 0.000117713644, 0.00011757794, 0.000113199894, 0.00010839424, 0.000106535845, 9.772504e-05, 9.764101e-05, 9.532523e-05, 9.447685e-05, 8.885551e-05, 8.614907e-05, 8.171324e-05, 7.604891e-05, 7.2157774e-05, 7.061576e-05, 6.860161e-05, 6.6461034e-05, 6.4906366e-05, 6.262148e-05, 6.1005645e-05, 6.006591e-05, 5.9487007e-05, 5.9453145e-05, 5.533526e-05, 5.5289835e-05, 5.469173e-05, 5.4596203e-05, 5.447689e-05, 5.0361657e-05, 4.8988706e-05, 4.606234e-05, 4.3981003e-05, 3.9453018e-05, 3.7938556e-05, 3.6188172e-05, 3.1433905e-05, 3.0346473e-05];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL.png
2024-02-25-14:47:37;50;10;50;0;ORIGINAL_COMPACT;CaD;0.5217222754993274;0.8899562791257258;0;0;2;0.24701646;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21, 14, 22, 13, 33, 48, 34, 47, 49, 45, 46, 40, 27, 25, 35, 26, 30, 36, 42, 24, 4, 37, 12, 0, 5, 23, 41, 44, 38, 1, 39, 31, 11, 29, 17, 16, 19, 20, 28, 43, 18];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531, 0.09558867, 0.04973921, 0.018956915, 0.008010975, 0.0011344685, 0.00079491804, 0.00042138598, 0.0001648651, 0.000117713644, 0.00011757794, 0.000113199894, 0.00010839424, 0.000106535845, 9.772504e-05, 9.764101e-05, 9.532523e-05, 9.447685e-05, 8.885551e-05, 8.614907e-05, 8.171324e-05, 7.604891e-05, 7.2157774e-05, 7.061576e-05, 6.860161e-05, 6.6461034e-05, 6.4906366e-05, 6.262148e-05, 6.1005645e-05, 6.006591e-05, 5.9487007e-05, 5.9453145e-05, 5.533526e-05, 5.5289835e-05, 5.469173e-05, 5.4596203e-05, 5.447689e-05, 5.0361657e-05, 4.8988706e-05, 4.606234e-05, 4.3981003e-05, 3.9453018e-05, 3.7938556e-05, 3.6188172e-05, 3.1433905e-05, 3.0346473e-05];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL_COMPACT.png
