timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;test_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets;visualization
2024-02-25-15:32:29;50;10;5;0;ORIGINAL;Heart;0.9366221397848828;0.9216307343826433;0;0;4;0.7548023;0;[4, 3, 27, 28, 5];[0.7548023, 0.23122956, 0.005464446, 0.004561561, 0.002963254];[0, 1, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL.png
2024-02-25-15:32:33;50;10;5;0;ORIGINAL_COMPACT;Heart;0.9366221397848828;0.9216307343826433;0;0;4;0.7548023;0;[4, 3, 27, 28, 5];[0.7548023, 0.23122956, 0.005464446, 0.004561561, 0.002963254];[0, 1, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-15:32:35;50;10;5;0;REIMPLEMENTED;Heart;0.3959303804358708;-0.8636270075594822;0;0;25;0.071680844;0;[25, 0, 29, 24, 17];[0.071680844, 0.068197876, 0.06521071, 0.056302343, 0.054420307];[0, 0, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-15:35:07;50;10;5;0;ORIGINAL;Heart;0.9366221397848828;0.9216307343826433;0;0;4;0.7548023;0;[4, 3, 27, 28, 5];[0.7548023, 0.23122956, 0.005464446, 0.004561561, 0.002963254];[0, 1, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL.png
2024-02-25-15:35:11;50;10;5;0;ORIGINAL_COMPACT;Heart;0.9366221397848828;0.9216307343826433;0;0;4;0.7548023;0;[4, 3, 27, 28, 5];[0.7548023, 0.23122956, 0.005464446, 0.004561561, 0.002963254];[0, 1, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-15:35:13;50;10;5;0;REIMPLEMENTED;Heart;0.3959303804358708;-0.8636270075594822;0;0;25;0.071680844;0;[25, 0, 29, 24, 17];[0.071680844, 0.068197876, 0.06521071, 0.056302343, 0.054420307];[0, 0, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-15:35:19;50;10;5;1;ORIGINAL;Heart;0.9434697054187853;0.7964415178782136;0;0;4;0.76995456;0;[4, 42, 27, 5, 28];[0.76995456, 0.22307938, 0.0029754115, 0.001806344, 0.0013814907];[0, 1, 0, 0, 0];files/images/Dataset.Heart_1_0_Model_Type.ORIGINAL.png
2024-02-25-15:35:23;50;10;5;1;ORIGINAL_COMPACT;Heart;0.9434697054187853;0.7964415178782136;0;0;4;0.76995456;0;[4, 42, 27, 5, 28];[0.76995456, 0.22307938, 0.0029754115, 0.001806344, 0.0013814907];[0, 1, 0, 0, 0];files/images/Dataset.Heart_1_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-15:35:26;50;10;5;1;REIMPLEMENTED;Heart;0.717458284806316;-0.11602499447438448;0;0;24;0.21680476;0;[24, 6, 25, 14, 17];[0.21680476, 0.11117716, 0.0893706, 0.07939706, 0.053148724];[0, 0, 0, 0, 0];files/images/Dataset.Heart_1_0_Model_Type.REIMPLEMENTED.png
2024-02-25-15:35:30;50;10;10;0;ORIGINAL;Heart;0.9817842300757202;0.9609123034661555;0;0;25;0.78289;0;[25, 3, 29, 15, 34, 4, 0, 5, 28, 27];[0.78289, 0.15254445, 0.035838693, 0.011561071, 0.01038386, 0.0021581545, 0.0014720795, 0.0010080313, 0.0008834828, 0.00069488515];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL.png
2024-02-25-15:35:34;50;10;10;0;ORIGINAL_COMPACT;Heart;0.9817842300757202;0.9609123034661555;0;0;25;0.78289;0;[25, 3, 29, 15, 34, 4, 0, 5, 28, 27];[0.78289, 0.15254445, 0.035838693, 0.011561071, 0.01038386, 0.0021581545, 0.0014720795, 0.0010080313, 0.0008834828, 0.00069488515];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-15:35:37;50;10;10;0;REIMPLEMENTED;Heart;0.7567892873802706;0.25106480517093355;0;0;25;0.071680844;0;[25, 0, 29, 24, 17, 14, 21, 34, 10, 15];[0.071680844, 0.068197876, 0.06521071, 0.056302343, 0.054420307, 0.05277043, 0.052668698, 0.05141753, 0.046096787, 0.039906092];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];files/images/Dataset.Heart_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-15:35:41;50;10;10;1;ORIGINAL;Heart;0.9845675244808785;0.8888054746955181;0;0;25;0.46917674;0;[25, 15, 3, 8, 42, 29, 34, 4, 0, 5];[0.46917674, 0.3168029, 0.062939614, 0.0600134, 0.05799936, 0.011876025, 0.010926258, 0.007316865, 0.0015779419, 0.0008722488];[0, 0, 1, 1, 1, 0, 0, 0, 0, 0];files/images/Dataset.Heart_1_0_Model_Type.ORIGINAL.png
2024-02-25-15:35:45;50;10;10;1;ORIGINAL_COMPACT;Heart;0.9845675244808785;0.8888054746955181;0;0;25;0.46917674;0;[25, 15, 3, 8, 42, 29, 34, 4, 0, 5];[0.46917674, 0.3168029, 0.062939614, 0.0600134, 0.05799936, 0.011876025, 0.010926258, 0.007316865, 0.0015779419, 0.0008722488];[0, 0, 1, 1, 1, 0, 0, 0, 0, 0];files/images/Dataset.Heart_1_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-15:35:48;50;10;10;1;REIMPLEMENTED;Heart;0.9158111289041736;0.627062976081778;0;0;24;0.21680476;0;[24, 6, 25, 14, 17, 21, 29, 12, 20, 37];[0.21680476, 0.11117716, 0.0893706, 0.07939706, 0.053148724, 0.049764086, 0.048460208, 0.038282216, 0.035155304, 0.0350174];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];files/images/Dataset.Heart_1_0_Model_Type.REIMPLEMENTED.png
2024-02-25-15:35:52;50;10;50;0;ORIGINAL;Heart;0.9933976143920032;0.9870314971407089;0;0;25;0.071680844;0;[25, 0, 29, 24, 17, 14, 21, 34, 10, 15, 37, 2, 6, 20, 4, 5, 27, 28, 9, 12, 7, 30, 1, 13, 32, 31, 47, 26, 18, 43, 39, 16, 41, 49, 46, 35, 3, 38, 44, 23, 48, 42, 33, 8, 11, 22, 19, 45, 36, 40];[0.071680844, 0.068197876, 0.06521071, 0.056302343, 0.054420307, 0.05277043, 0.052668698, 0.05141753, 0.046096787, 0.039906092, 0.03576028, 0.035577636, 0.03230861, 0.031115912, 0.03035586, 0.024546605, 0.023140779, 0.022715367, 0.019806249, 0.017059244, 0.016860941, 0.012052048, 0.006074633, 0.00585908, 0.0057451534, 0.0057144067, 0.005652624, 0.005551123, 0.005537701, 0.0054834313, 0.005465461, 0.0053459215, 0.005345583, 0.0053262785, 0.005300129, 0.0052067945, 0.0050732326, 0.0050645457, 0.0049471986, 0.0048385747, 0.0047752894, 0.0046865665, 0.00463148, 0.004550927, 0.004546371, 0.004488363, 0.00439905, 0.0042535686, 0.0032048828, 0.0029604486];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL.png
2024-02-25-15:35:56;50;10;50;0;ORIGINAL_COMPACT;Heart;0.9933976143920032;0.9870314971407089;0;0;25;0.071680844;0;[25, 0, 29, 24, 17, 14, 21, 34, 10, 15, 37, 2, 6, 20, 4, 5, 27, 28, 9, 12, 7, 30, 1, 13, 32, 31, 47, 26, 18, 43, 39, 16, 41, 49, 46, 35, 3, 38, 44, 23, 48, 42, 33, 8, 11, 22, 19, 45, 36, 40];[0.071680844, 0.068197876, 0.06521071, 0.056302343, 0.054420307, 0.05277043, 0.052668698, 0.05141753, 0.046096787, 0.039906092, 0.03576028, 0.035577636, 0.03230861, 0.031115912, 0.03035586, 0.024546605, 0.023140779, 0.022715367, 0.019806249, 0.017059244, 0.016860941, 0.012052048, 0.006074633, 0.00585908, 0.0057451534, 0.0057144067, 0.005652624, 0.005551123, 0.005537701, 0.0054834313, 0.005465461, 0.0053459215, 0.005345583, 0.0053262785, 0.005300129, 0.0052067945, 0.0050732326, 0.0050645457, 0.0049471986, 0.0048385747, 0.0047752894, 0.0046865665, 0.00463148, 0.004550927, 0.004546371, 0.004488363, 0.00439905, 0.0042535686, 0.0032048828, 0.0029604486];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1];files/images/Dataset.Heart_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-15:35:59;50;10;50;0;REIMPLEMENTED;Heart;0.9933976143920032;0.9870314971407089;0;0;25;0.071680844;0;[25, 0, 29, 24, 17, 14, 21, 34, 10, 15, 37, 2, 6, 20, 4, 5, 27, 28, 9, 12, 7, 30, 1, 13, 32, 31, 47, 26, 18, 43, 39, 16, 41, 49, 46, 35, 3, 38, 44, 23, 48, 42, 33, 8, 11, 22, 19, 45, 36, 40];[0.071680844, 0.068197876, 0.06521071, 0.056302343, 0.054420307, 0.05277043, 0.052668698, 0.05141753, 0.046096787, 0.039906092, 0.03576028, 0.035577636, 0.03230861, 0.031115912, 0.03035586, 0.024546605, 0.023140779, 0.022715367, 0.019806249, 0.017059244, 0.016860941, 0.012052048, 0.006074633, 0.00585908, 0.0057451534, 0.0057144067, 0.005652624, 0.005551123, 0.005537701, 0.0054834313, 0.005465461, 0.0053459215, 0.005345583, 0.0053262785, 0.005300129, 0.0052067945, 0.0050732326, 0.0050645457, 0.0049471986, 0.0048385747, 0.0047752894, 0.0046865665, 0.00463148, 0.004550927, 0.004546371, 0.004488363, 0.00439905, 0.0042535686, 0.0032048828, 0.0029604486];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1];files/images/Dataset.Heart_0_0_Model_Type.REIMPLEMENTED.png
